Timestamp,PlayerPosition_X,PlayerPosition_Y,PlayerPosition_Z,RoundTripDelay_ms
2024-06-09 16:33:44,0,0,0,1000.00
2024-06-09 16:33:44,0,0,0,1000.00
2024-06-09 16:33:45,0,0,0,1000.00
2024-06-09 16:33:45,0,0,0,1000.00
2024-06-09 16:33:46,0,0,0,1000.00
2024-06-09 16:33:46,0,0,0,1000.00
2024-06-09 16:33:47,0,0,0,1000.00
2024-06-09 16:33:47,0,0,0,1000.00
2024-06-09 16:33:48,0,0,0,1000.00
2024-06-09 16:33:48,0,0,0,1000.00
2024-06-09 16:33:49,0,0,0,1000.00
2024-06-09 16:33:49,0,0,0,1000.00
2024-06-09 16:33:50,0,0,0,1000.00
2024-06-09 16:33:50,0,0,0,1000.00
2024-06-09 16:33:51,0,0,0,1000.00
2024-06-09 16:33:51,0,0,0,1000.00
2024-06-09 16:33:52,0,0,0,1000.00
2024-06-09 16:33:52,0,0,0,1000.00
2024-06-09 16:33:53,0,0,0,1000.00
2024-06-09 16:33:53,0,0,0,1000.00
2024-06-09 16:33:54,0,0,0,1000.00
2024-06-09 16:33:54,0,0,0,1000.00
2024-06-09 16:33:55,0,0,0,1000.00
2024-06-09 16:33:55,0,0,0,1000.00
2024-06-09 16:33:56,0,0,0,1000.00
2024-06-09 16:33:56,0,0,0,1000.00
2024-06-09 16:33:57,0,0,0,1000.00
2024-06-09 16:33:57,0,0,0,1000.00
2024-06-09 16:33:58,0,0,0,1000.00
2024-06-09 16:33:58,0,0,0,1000.00
2024-06-09 16:33:59,0,0,0,1000.00
2024-06-09 16:33:59,0,0,0,1000.00
2024-06-09 16:34:00,0,0,0,1000.00
2024-06-09 16:34:00,0,0,0,1000.00
2024-06-09 16:34:01,0,0,0,1000.00
2024-06-09 16:34:01,0,0,0,1000.00
2024-06-09 16:34:02,0,0,0,1000.00
2024-06-09 16:34:02,0,0,0,1000.00
2024-06-09 16:34:03,0,0,0,1000.00
